chunk_id,section_id,category,heading,sub_idx,text,word_count
31,NHMP-Reg-2022-P1,pedestrian_right_of_way,Pedestrian Underpasses and Bridges,0,"NHMP Regulation 2022 P1 requires drivers to reduce speed when approaching pedestrian underpasses or overhead bridge entry ramps. On motorways, pedestrians are prohibited from crossing the carriageway; a driver who fails to avoid a pedestrian on a motorway may face charges of negligent driving. Fine for speeding near underpass entrance: Rs. 1,500.",52
32,MVO-1965-Sec-52,pedestrian_right_of_way,Pedestrian Right of Way — Blind Pedestrians,0,"Section 52 MVO 1965 affords additional protection to blind pedestrians identifiable by a white cane or guide dog. All vehicles must stop and give way to such pedestrians at any point on the carriageway, not only at designated crossings. Failure to yield: Rs. 5,000 fine and mandatory defensive driving course.",50
33,PHC-Rule-33,pedestrian_right_of_way,No Parking on Pedestrian Crossings,0,"Rule 33 PHC forbids parking or stopping on, or within 10 metres of, a pedestrian crossing. A parked vehicle obstructing a crossing endangers pedestrians. Fine: Rs. 2,000. The vehicle may be towed at the owner's expense.",36
34,MVO-1965-Sec-55,emergency_vehicle,Duty to Give Way to Emergency Vehicles,0,"Section 55 MVO 1965 requires every driver, upon perceiving the audible and/or visual signals (siren, flashing lights) of an emergency vehicle — ambulance, fire brigade, police — to immediately move to the nearest side of the road and stop, if necessary, to allow the emergency vehicle to pass. Failure to yield to an emergency vehicle is an offence carrying a fine of Rs. 5,000 and three demerit points. Where obstruction delays a medical emergency resulting in harm, the driver may face civil liability.",83
35,PHC-Rule-40,emergency_vehicle,Green Corridor Procedure,0,"Rule 40 PHC describes the green corridor: when NHMP designates a green corridor for an emergency vehicle convoy, all other road users must clear the route immediately. Drivers must pull to the left side, reduce speed to zero, and remain stationary until the convoy passes and NHMP signals resumption. Violation: Rs. 5,000 fine and potential prosecution for obstruction under Section 186 PPC.",62
36,NHMP-Reg-2022-E1,emergency_vehicle,Ambulance Priority on Motorways,0,"NHMP Regulation 2022 E1 grants ambulances, fire engines, and disaster response vehicles authority to exceed motorway speed limits while responding to emergencies. All other drivers must vacate the fast lane when an emergency vehicle with lights and siren active approaches. Failure to vacate: Rs. 5,000 fine. Cutting off an emergency vehicle: Rs. 8,000 fine and possible licence suspension for 60 days.",61
37,MVO-1965-Sec-56,emergency_vehicle,Following Emergency Vehicles,0,"Section 56 MVO 1965 prohibits any non-emergency vehicle from following an emergency vehicle at a distance of less than 50 metres while the emergency vehicle has its lights and siren active. Drafting behind an emergency vehicle to gain road priority is illegal. Fine: Rs. 3,000 and three demerit points.",49
38,PHC-Rule-41,emergency_vehicle,Not Using Emergency Signal Unlawfully,0,"Rule 41 PHC prohibits any vehicle not designated as an emergency vehicle from using flashing blue or red lights, or a siren. Use of such equipment by a non-authorised vehicle is an offence under Section 482 PPC (cheating by personation) in addition to the traffic offence. Fine: Rs. 10,000 plus confiscation of the unauthorised equipment.",55
39,NHMP-Reg-2022-E2,emergency_vehicle,Fire Engine Corridor,0,"NHMP Regulation 2022 E2 mandates that upon hearing a fire engine siren, all drivers in a dual-carriageway must move towards the shoulder. On a single carriageway both lanes must split to the sides (Budapest split method) creating a central corridor. Failure to perform a Budapest split: Rs. 5,000 fine and public awareness challan.",53
40,MVO-1965-Sec-60,reckless_driving,Reckless Driving,0,"Section 60 MVO 1965 defines reckless driving as driving a motor vehicle on a public road in a manner that is, having regard to all circumstances, dangerous to the public. Offences include: weaving between lanes at high speed, racing on public roads, driving under the influence of alcohol or drugs, using a mobile phone while driving, and performing stunts. Penalty for first offence: fine of Rs. 5,000 to Rs. 50,000 and/or imprisonment up to 6 months. Repeat offences within 3 years: mandatory licence revocation.",84
41,PPC-Sec-279,reckless_driving,Pakistan Penal Code — Rash Driving,0,"Section 279 of the Pakistan Penal Code 1860 criminalises rash or negligent driving on a public road in a manner which endangers human life or which is likely to cause hurt or injury to any other person. Punishment: imprisonment up to 6 months, or fine, or both. This section is invoked when a traffic violation results in near-miss incidents, property damage, or bodily harm. It is independent of MVO 1965 and applies concurrent penalties.",74
42,PHC-Rule-50,reckless_driving,Careless Driving,0,"Rule 50 PHC defines careless driving as driving without reasonable consideration for other road users, including: tailgating, using high beam in oncoming traffic, not indicating before a manoeuvre, or driving while distracted. Penalty: Rs. 2,000 fine and one demerit point. Three demerit points in 12 months triggers mandatory driver assessment.",50
43,MVO-1965-Sec-61,reckless_driving,Driving Under Influence (DUI),0,"Section 61 MVO 1965 prohibits driving while under the influence of alcohol, narcotics, or any substance impairing driving ability. A Police officer may require a breath or blood test. Penalty for DUI first offence: Rs. 10,000 fine and 6-month licence suspension. Second offence: Rs. 25,000 fine and 2-year suspension. Third offence: permanent revocation. DUI causing accident: prosecution under Sections 338-C and 320 PPC.",63
44,PHC-Rule-51,reckless_driving,Mobile Phone Use While Driving,0,"Rule 51 PHC prohibits the use of a hand-held mobile phone while driving. A driver must use a hands-free device if communication is necessary. Use of a phone while driving is a careless driving offence. Fine: Rs. 1,500 for first offence; Rs. 3,000 and one demerit point for subsequent offences. Photography or video recording while driving is equally prohibited and carries the same penalty.",64
45,NHMP-Reg-2022-R1,reckless_driving,Street Racing Prohibition,0,"NHMP Regulation 2022 R1 prohibits any form of organised or impromptu street racing on public roads or motorways. All participants, organisers, and spectators obstructing traffic are liable. Penalty for racing: Rs. 50,000 fine, vehicle impoundment for 30 days, and referral to Anti-Terrorism Court if a public gathering is endangered. Licence suspension: minimum 12 months for the driver.",57
46,PHC-Rule-52,reckless_driving,Tailgating,0,"Rule 52 PHC requires all drivers to maintain a safe following distance, defined as at least 2 seconds time-gap behind the vehicle in front, or more in adverse conditions. On motorways the minimum distance is 50 metres at 80 km/h and 100 metres at 120 km/h. Tailgating is treated as careless driving. Fine: Rs. 2,000 per offence. Camera evidence from motorway CCTV is admissible.",64
47,MVO-1965-Sec-62,reckless_driving,Dangerous Load,0,"Section 62 MVO 1965 requires any vehicle carrying a load to ensure the load is properly secured, does not protrude dangerously, and does not exceed height/width/weight limits. An unsecured or overhanging load that causes danger constitutes reckless driving. Fine: Rs. 5,000 plus liability for damage caused. Overloaded vehicles may be detained until the excess load is removed.",57
48,MVO-1965-Sec-70,vehicle_restriction,Licensing Categories and Restrictions,0,"Section 70 MVO 1965 specifies that a driving licence is issued for specified categories: motorcycle, light motor vehicle (LMV), heavy transport vehicle (HTV), commercial goods vehicle (CGV), and public service vehicle (PSV). A person holding an LMV licence may not drive an HTV. Driving without the appropriate licence category is an offence. Fine: Rs. 5,000 to Rs. 20,000. The vehicle may be impounded until a qualified driver takes over.",69
49,PHC-Rule-60,vehicle_restriction,Heavy Vehicle Restrictions in Urban Zones,0,"Rule 60 PHC and local government by-laws restrict heavy goods vehicles (GVW > 10,000 kg) from entering residential and commercial zones between 07:00 and 22:00 unless exempt. Exemptions require a written permit from the Traffic Engineering Bureau. Fine for unauthorised heavy vehicle in restricted zone: Rs. 5,000 per violation. The load may be required to be transferred to a permitted vehicle.",61
50,NHMP-Reg-2022-V1,vehicle_restriction,Motorcycle Restrictions on Motorways,0,"NHMP Regulation 2022 V1 prohibits motorcycles with engine capacity below 100cc from entering motorways. Motorcycles with 100cc or above may use the motorway but must remain in the left lane. A motorcycle found in the middle or fast lane of a motorway is in violation. Fine for prohibited motorcycle on motorway: Rs. 3,000 and removal from motorway.",57
51,MVO-1965-Sec-71,vehicle_restriction,Overloading Prohibition,0,"Section 71 MVO 1965 prohibits the operation of any goods vehicle beyond its rated payload. Axle-weight limits are enforced at weigh-stations. Overloading by 1-20%: Rs. 5,000 fine. Overloading by 21-50%: Rs. 10,000 fine and 7-day licence suspension. Over 50% overloading: Rs. 20,000 fine, 30-day licence suspension, and operator deregistration risk.",50
52,PHC-Rule-61,vehicle_restriction,Goods Vehicle Height Limit,0,"Rule 61 PHC sets the maximum height of a loaded goods vehicle at 4.2 metres above road level for national highways and motorways. Vehicles exceeding this limit require a special transport permit and a pilot escort vehicle. Unauthorised high-load vehicles: Rs. 10,000 fine and liability for any bridge or infrastructure damage.",51
53,NHMP-Reg-2022-V2,vehicle_restriction,Tractor-Trolley Prohibition on Highways,0,"NHMP Regulation 2022 V2 prohibits tractor-trolley combinations from using national highways and motorways. Agricultural tractors are restricted to rural roads. A tractor-trolley found on a national highway: Rs. 5,000 fine and mandatory removal. Where a tractor blocks a highway creating a hazard: Rs. 10,000 fine and possible prosecution under Section 283 PPC (danger or obstruction in public way).",58
54,MVO-1965-Sec-72,vehicle_restriction,Vehicle Fitness Certificate,0,"Section 72 MVO 1965 requires every motor vehicle used in public service (bus, taxi, goods vehicle) to hold a valid Fitness Certificate issued by the Vehicle Examination Department. An unfit vehicle on public roads endangers other road users. Operating without fitness cert: Rs. 3,000 fine. If the vehicle causes an accident: operator liable under Section 304-A PPC (causing death by negligence).",61
55,PHC-Rule-62,vehicle_restriction,Prohibited Vehicle Types at Night,0,"Rule 62 PHC requires that slow-moving agricultural or construction vehicles equipped with adequate lighting may use rural roads at night, but are strictly prohibited from arterial urban roads between 22:00 and 06:00. Fine for prohibited night-time vehicle on arterial road: Rs. 2,000. Vehicles without functional lights are additionally subject to prosecution for unroadworthy vehicle offences.",55
56,NHMP-Reg-2022-V3,vehicle_restriction,Hazardous Materials Vehicles,0,"NHMP Regulation 2022 V3 requires vehicles transporting dangerous goods (petroleum, chemicals, explosives) to carry valid hazardous materials permits, display appropriate hazard placards, and follow designated routes only. These vehicles are prohibited from using tunnels and certain urban roads. Violation: Rs. 50,000 fine, immediate vehicle impoundment, and referral to environmental enforcement authorities.",51
57,MVO-1965-Sec-80,lane_discipline,U-Turn Restrictions,0,"Section 80 MVO 1965 prohibits U-turns at locations marked with 'No U-Turn' signs, at pedestrian crossings, within junctions, or where visibility is insufficient. An illegal U-turn often requires crossing solid white or yellow lines and thus constitutes both a lane discipline and a road sign violation. Fine: Rs. 2,000.",49
58,PHC-Rule-70,signal_violation,Seatbelt Compliance at Signals,0,"Rule 70 PHC requires all vehicle occupants (driver and passengers in front seats) to wear seatbelts at all times. Officers stationed at traffic signals routinely check seatbelt compliance. Fine for non-compliance: Rs. 500 per unbelted occupant. Children under 12 must be in an approved child restraint; non-compliance: Rs. 1,500.",49
59,MVO-1965-Sec-85,reckless_driving,Failure to Report Accident,0,"Section 85 MVO 1965 requires any driver involved in a road accident that causes injury to any person or damage to property exceeding Rs. 5,000 to stop, provide particulars to other parties, and report the accident to the nearest Police station within 24 hours. Hit-and-run is an aggravated offence under Section 279 and 337-A PPC. Additional fine: Rs. 5,000 and potential criminal prosecution.",63
60,NHMP-Reg-2022-G1,reckless_driving,Distracted Driving — Visual Tasks,0,"NHMP General Regulation 2022 G1 prohibits any visual or manual task that distracts the driver from the road, including: reading a map or newspaper, eating, applying cosmetics, or watching video on a dashboard screen while the vehicle is in motion. Fine: Rs. 1,500. Distracted driving that causes or nearly causes an accident: Rs. 5,000 and court referral.",57
61,PHC-Rule-75,speed_limit,Night-Time Speed Reduction,0,Rule 75 PHC requires all drivers to reduce speed by at least 10 km/h below the posted limit between midnight and 05:00 on roads without adequate street lighting. On unlit rural roads at night the speed must not exceed 60 km/h regardless of any higher posted daytime limit. NHMP patrol vehicles enforce this regulation on night-time highways.,57
62,MVO-1965-Sec-90,emergency_vehicle,Funeral Procession Rules,0,"Section 90 MVO 1965 requires drivers encountering a funeral procession escorted by Police to yield as they would for any escorted convoy. Cutting through a funeral procession is prohibited and constitutes an obstruction offence. Fine: Rs. 2,000.",37
63,NHMP-Reg-2022-P2,pedestrian_right_of_way,Pedestrian Refuge Islands,0,"NHMP Regulation 2022 P2 requires drivers to slow down when a pedestrian is on a refuge island waiting to complete a crossing. The pedestrian may legally cross when traffic allows; the driver of the nearer lane must give way. Passing a refuge island at speed without checking for pedestrians is careless driving. Fine: Rs. 1,500.",55
64,PHC-Rule-80,vehicle_restriction,Non-Motorised Vehicles in Motorised Lanes,0,"Rule 80 PHC prohibits cycles, rickshaws, tongas, and other non-motorised vehicles from using motorised carriageways where a separate lane or road is provided. Using a motorised lane by a non-motorised vehicle: Rs. 500 fine. Using a motorway or expressway by a non-motorised vehicle: Rs. 3,000 fine and removal.",48
65,MVO-1965-Sec-95,lane_discipline,Roundabout Lane Rules,0,"Section 95 MVO 1965 requires vehicles entering a roundabout to give way to vehicles already circulating. Lane changes within the roundabout must follow road markings. Exiting from the wrong lane is a lane discipline violation. Fine: Rs. 1,000. Causing a collision by incorrect roundabout lane use: liable under Section 279 PPC.",51
66,PHC-Rule-85,signal_violation,Railway Level Crossing Signals,0,"Rule 85 PHC requires all drivers to stop at railway level crossing gates or signals when indicated. Proceeding past a level crossing light or closed gate is an extremely dangerous signal violation. Fine: Rs. 5,000 and potential criminal charges. Drivers must also stop when they can hear or see an approaching train even if the gate is open.",58
67,NHMP-Reg-2022-H1,reckless_driving,Harsh Braking on Motorways,0,"NHMP Regulation 2022 H1 prohibits sudden or harsh braking on motorways without a genuine hazard ahead, as this causes rear-end collisions. Deliberately brake-testing a following vehicle is an act of dangerous driving. Fine: Rs. 5,000. If a collision results, the brake-testing driver bears contributory liability.",45
68,MVO-1965-Sec-100,pedestrian_right_of_way,Pedestrian Priority at Roundabouts,0,"Section 100 MVO 1965 extends pedestrian priority to crossings at roundabout entry and exit points. Pedestrians using these crossings have right of way over turning vehicles. A driver must yield before entering or exiting the roundabout if a pedestrian is on or approaching the crossing. Fine for failure to yield: Rs. 2,000.",52
69,PHC-Rule-90,emergency_vehicle,Parking Blocking Emergency Access,0,"Rule 90 PHC prohibits parking in front of fire hydrants, hospital emergency entrances, ambulance bays, or any access designated for emergency vehicles. A vehicle blocking emergency access may be towed immediately without prior notice. Fine: Rs. 5,000 plus towing costs. If the obstruction delayed an emergency response resulting in harm, criminal liability may arise under Section 283 PPC.",58
70,NHMP-Reg-2022-S3,speed_limit,Speed Advisory Signs,0,"NHMP Regulation 2022 S3 distinguishes between mandatory speed limit signs (circular with red border — legally enforceable) and advisory speed signs (diamond-shaped — recommended but not enforceable). Exceeding a mandatory speed limit: fine as per S1 scale. Exceeding an advisory speed in conditions for which it is intended (e.g., sharp bend) may constitute careless driving if an incident results.",59
